,sentence,tokens,labels
580,dont see much difference skins texture appearance maybe itll take longer notice particular serum .,"['dont', 'see', 'much', 'difference', 'skins', 'texture', 'appearance', 'maybe', 'itll', 'take', 'longer', 'notice', 'particular', 'serum', '.']","['O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O']"
581,overall since would hard assess whether not serum actually works wrinkles acne spots would say good serum try youre new retinols .,"['overall', 'since', 'would', 'hard', 'assess', 'whether', 'not', 'serum', 'actually', 'works', 'wrinkles', 'acne', 'spots', 'would', 'say', 'good', 'serum', 'try', 'youre', 'new', 'retinols', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'B-VP-POS', 'I-VP-POS', 'I-VP-POS', 'I-VP-POS', 'I-VP-POS', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'B_IN', 'O']"
582,mild likely cause adverse effects used moisturizer .,"['mild', 'likely', 'cause', 'adverse', 'effects', 'used', 'moisturizer', '.']","['O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O']"
583,seems like moisturizer,"['seems', 'like', 'moisturizer']","['O', 'O', 'B_PT']"
584,1.05oz bottle fixderma hyaluronic acid serum anti ageing pro retinol serum face came well sealed .,"['1.05oz', 'bottle', 'fixderma', 'hyaluronic', 'acid', 'serum', 'anti', 'ageing', 'pro', 'retinol', 'serum', 'face', 'came', 'well', 'sealed', '.']","['O', 'O', 'B_BR', 'B_IN', 'I_IN', 'B_PT', 'B-VP-POS', 'I-VP-POS', 'O', 'B_IN', 'B_PT', 'B_BP', 'O', 'O', 'O', 'O']"
585,bottle pump action also clear top .,"['bottle', 'pump', 'action', 'also', 'clear', 'top', '.']","['B-PK-NEU', 'B-PK-NEU', 'O', 'O', 'O', 'O', 'O']"
586,lotion easy apply light floral scent .,"['lotion', 'easy', 'apply', 'light', 'floral', 'scent', '.']","['B_PT', 'O', 'O', 'B-SC-NEU', 'I-SC-NEU', 'I-SC-NEU', 'O']"
587,hyaluronic acid pro retinol peptides well good ingredients skin blend .,"['hyaluronic', 'acid', 'pro', 'retinol', 'peptides', 'well', 'good', 'ingredients', 'skin', 'blend', '.']","['B_IN', 'I_IN', 'O', 'B_IN', 'B_IN', 'O', 'O', 'B_IN', 'B_BP', 'O', 'O']"
588,couple pumps cover whole face neck .,"['couple', 'pumps', 'cover', 'whole', 'face', 'neck', '.']","['O', 'O', 'O', 'O', 'B_BP', 'B_BP', 'O']"
589,product india .,"['product', 'india', '.']","['B_PT', 'O', 'O']"
590,ive using fixderma hyaluronic acid serum days cant attest antiaging results .,"['ive', 'using', 'fixderma', 'hyaluronic', 'acid', 'serum', 'days', 'cant', 'attest', 'antiaging', 'results', '.']","['O', 'O', 'B_BR', 'B_IN', 'I_IN', 'B_PT', 'O', 'B-VP-NEG', 'I-VP-NEG', 'I-VP-NEG', 'O', 'O']"
591,assist making skin feel soft smooth however.i wash face evening apply small amount let dry apply regular evening moisturizer .,"['assist', 'making', 'skin', 'feel', 'soft', 'smooth', 'however.i', 'wash', 'face', 'evening', 'apply', 'small', 'amount', 'let', 'dry', 'apply', 'regular', 'evening', 'moisturizer', '.']","['O', 'O', 'B_BP', 'O', 'B-TX-POS', 'B-TX-POS', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'B-HY-NEG', 'O', 'O', 'O', 'B_PT', 'O']"
592,hasnt caused skin sensitivities rash redness dryness .,"['hasnt', 'caused', 'skin', 'sensitivities', 'rash', 'redness', 'dryness', '.']","['B-SE-POS', 'I-SE-POS', 'I-SE-POS', 'I-SE-POS', 'I-SE-POS', 'I-SE-POS', 'I-SE-POS', 'O']"
593,sensitive skin thats definitely plus .,"['sensitive', 'skin', 'thats', 'definitely', 'plus', '.']","['O', 'B_BP', 'O', 'O', 'O', 'O']"
594,good value compared brands similar products .,"['good', 'value', 'compared', 'brands', 'similar', 'products', '.']","['B-PE-POS', 'I-PE-POS', 'O', 'O', 'O', 'O', 'O']"
595,contain retinol make sure wear sunscreen face day .,"['contain', 'retinol', 'make', 'sure', 'wear', 'sunscreen', 'face', 'day', '.']","['O', 'B_IN', 'O', 'O', 'O', 'B_PT', 'B_BP', 'O', 'O']"
596,makes skin feel soft smooth,"['makes', 'skin', 'feel', 'soft', 'smooth']","['O', 'B_BP', 'O', 'O', 'B-TX-POS']"
597,used hyaluronic acid serums one left skin feeling bit tacky touch .,"['used', 'hyaluronic', 'acid', 'serums', 'one', 'left', 'skin', 'feeling', 'bit', 'tacky', 'touch', '.']","['O', 'B_IN', 'I_IN', 'B_PT', 'O', 'O', 'B_BP', 'O', 'O', 'B-TX-NEG', 'O', 'O']"
598,almost felt like needed powder face absorb excess moisture .,"['almost', 'felt', 'like', 'needed', 'powder', 'face', 'absorb', 'excess', 'moisture', '.']","['O', 'O', 'O', 'O', 'O', 'B_BP', 'B-HY-POS', 'I-HY-POS', 'I-HY-POS', 'O']"
599,seem make fine lines diminish skin youthful appearance .,"['seem', 'make', 'fine', 'lines', 'diminish', 'skin', 'youthful', 'appearance', '.']","['O', 'O', 'B-VP-POS', 'I-VP-POS', 'I-VP-POS', 'B_BP', 'B-VP-POS', 'I-VP-POS', 'O']"
600,box label states .and clarifying oily skin appearance wondering tacky feel intentional really like product free parabens alcohol cruelty free .,"['box', 'label', 'states', '.and', 'clarifying', 'oily', 'skin', 'appearance', 'wondering', 'tacky', 'feel', 'intentional', 'really', 'like', 'product', 'free', 'parabens', 'alcohol', 'cruelty', 'free', '.']","['O', 'O', 'O', 'O', 'O', 'B_IN', 'B_BP', 'O', 'O', 'B-TX-NEG', 'I-TX-NEG', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'B_IN', 'O', 'O', 'O']"
601,continue use summer heat sun drying effect skin might provide moisture needed balance .,"['continue', 'use', 'summer', 'heat', 'sun', 'drying', 'effect', 'skin', 'might', 'provide', 'moisture', 'needed', 'balance', '.']","['O', 'O', 'B_SW', 'O', 'B-HY-NEG', 'I-HY-NEG', 'O', 'B_BP', 'O', 'B-HY-POS', 'I-HY-POS', 'O', 'O', 'O']"
602,left face feeling bit tacky,"['left', 'face', 'feeling', 'bit', 'tacky']","['O', 'B_BP', 'O', 'O', 'B-TX-POS']"
603,hyaluronic acid retinol serum goes smoothly evenly .,"['hyaluronic', 'acid', 'retinol', 'serum', 'goes', 'smoothly', 'evenly', '.']","['B_IN', 'I_IN', 'B_IN', 'B_PT', 'O', 'B-AB-POS', 'I-AB-POS', 'O']"
604,single pump easily cover half face .,"['single', 'pump', 'easily', 'cover', 'half', 'face', '.']","['O', 'B-PK-NEU', 'O', 'O', 'O', 'O', 'O']"
605,serum dries quickly leaves no residue stickiness behind apply sunscreen makeup right away .,"['serum', 'dries', 'quickly', 'leaves', 'no', 'residue', 'stickiness', 'behind', 'apply', 'sunscreen', 'makeup', 'right', 'away', '.']","['B_PT', 'B-HY-NEG', 'I-HY-NEG', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O']"
606,like get combined dose hyaluronic acid retinol single serum .,"['like', 'get', 'combined', 'dose', 'hyaluronic', 'acid', 'retinol', 'single', 'serum', '.']","['O', 'O', 'O', 'O', 'B_IN', 'I_IN', 'B_IN', 'O', 'B_PT', 'O']"
607,ingredients apparently work well even skin tone help repair sun damage sustained ski season .,"['ingredients', 'apparently', 'work', 'well', 'even', 'skin', 'tone', 'help', 'repair', 'sun', 'damage', 'sustained', 'ski', 'season', '.']","['O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
608,high hopes product smooth application without residue,"['high', 'hopes', 'product', 'smooth', 'application', 'without', 'residue']","['O', 'O', 'B_PT', 'B-AB-POS', 'I-AB-POS', 'O', 'O']"
609,hyaluronic acid serum fixaderma skincare made india .,"['hyaluronic', 'acid', 'serum', 'fixaderma', 'skincare', 'made', 'india', '.']","['B_IN', 'I_IN', 'B_PT', 'B_BR', 'O', 'O', 'O', 'O']"
610,1oz 30 gram pump hyaluronic acid .,"['1oz', '30', 'gram', 'pump', 'hyaluronic', 'acid', '.']","['O', 'O', 'O', 'O', 'B_IN', 'I_IN', 'O']"
611,also contains aloe cocoa seed butter retinol no preservatives .,"['also', 'contains', 'aloe', 'cocoa', 'seed', 'butter', 'retinol', 'no', 'preservatives', '.']","['O', 'O', 'B_IN', 'B_IN', 'O', 'O', 'B_IN', 'O', 'O', 'O']"
612,applied sparingly night cleansing moisturizing .,"['applied', 'sparingly', 'night', 'cleansing', 'moisturizing', '.']","['O', 'O', 'O', 'B-VP-POS', 'B-HY-POS', 'O']"
613,floral powdery scent .,"['floral', 'powdery', 'scent', '.']","['B-SC-POS', 'I-SC-POS', 'I-SC-POS', 'O']"
614,2 pumps needed face neck 15 bottle not bad .,"['2', 'pumps', 'needed', 'face', 'neck', '15', 'bottle', 'not', 'bad', '.']","['O', 'O', 'O', 'B_BP', 'B_BP', 'O', 'O', 'O', 'O', 'O']"
615,face serum comes pump bottle directions apply 23 drops serum evenly clean skin use twice daily affected areas assume means problem areas .,"['face', 'serum', 'comes', 'pump', 'bottle', 'directions', 'apply', '23', 'drops', 'serum', 'evenly', 'clean', 'skin', 'use', 'twice', 'daily', 'affected', 'areas', 'assume', 'means', 'problem', 'areas', '.']","['B_BP', 'B_PT', 'O', 'B-PK-NEU', 'B-PK-NEU', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
616,nicely scented product goes smoothly seems take 23 drops like two pumps serum cover face .,"['nicely', 'scented', 'product', 'goes', 'smoothly', 'seems', 'take', '23', 'drops', 'like', 'two', 'pumps', 'serum', 'cover', 'face', '.']","['B-SC-POS', 'I-SC-POS', 'I-SC-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'B_BP', 'O']"
617,contains hyaluronic acid pro retinol peptides well aloe vera cacao butter .,"['contains', 'hyaluronic', 'acid', 'pro', 'retinol', 'peptides', 'well', 'aloe', 'vera', 'cacao', 'butter', '.']","['O', 'B_IN', 'I_IN', 'O', 'B_IN', 'B_IN', 'O', 'B_IN', 'I_IN', 'B_IN', 'I_IN', 'O']"
618,ingredient list hard read overall seems contain good ingredients skin continue use .,"['ingredient', 'list', 'hard', 'read', 'overall', 'seems', 'contain', 'good', 'ingredients', 'skin', 'continue', 'use', '.']","['B_IN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'B_BP', 'O', 'O', 'O']"
619,fixderma anti aging face serum,"['fixderma', 'anti', 'aging', 'face', 'serum']","['B_BR', 'B-VP-POS', 'I-VP-POS', 'B_BP', 'B_PT']"
620,sufferer seborrheic dermatitis always need careful put skin anything dries skin much problem long ago found anything containing alcohol drying fortunately product not cause skin become dry fact use pads twice day helped smooth persistently rough dermatitis patches right around edge nose welcome flares tend start addition welcome benefit rest face also looks smoother brighter nothing dramatic also not using long 2 weeksfurther really like fact liquid comes separate pads setup lets carefully control much toner put pad tend count 1015 drops pad may adjust depending whether irritation occurslastly aha bha toner tend time soften upper layers skin make good exfoliation work even better skin looks feels better,"['sufferer', 'seborrheic', 'dermatitis', 'always', 'need', 'careful', 'put', 'skin', 'anything', 'dries', 'skin', 'much', 'problem', 'long', 'ago', 'found', 'anything', 'containing', 'alcohol', 'drying', 'fortunately', 'product', 'not', 'cause', 'skin', 'become', 'dry', 'fact', 'use', 'pads', 'twice', 'day', 'helped', 'smooth', 'persistently', 'rough', 'dermatitis', 'patches', 'right', 'around', 'edge', 'nose', 'welcome', 'flares', 'tend', 'start', 'addition', 'welcome', 'benefit', 'rest', 'face', 'also', 'looks', 'smoother', 'brighter', 'nothing', 'dramatic', 'also', 'not', 'using', 'long', '2', 'weeksfurther', 'really', 'like', 'fact', 'liquid', 'comes', 'separate', 'pads', 'setup', 'lets', 'carefully', 'control', 'much', 'toner', 'put', 'pad', 'tend', 'count', '1015', 'drops', 'pad', 'may', 'adjust', 'depending', 'whether', 'irritation', 'occurslastly', 'aha', 'bha', 'toner', 'tend', 'time', 'soften', 'upper', 'layers', 'skin', 'make', 'good', 'exfoliation', 'work', 'even', 'better', 'skin', 'looks', 'feels', 'better']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'O', 'O', 'B_PT', 'O', 'O', 'B_BP', 'O', 'B-AP-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AP-POS', 'O', 'O', 'B_PT', 'I_PT', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'B-AP-POS', 'B-VP-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-TX-POS', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'B_IN', 'B_PT', 'O', 'O', 'B-AP-POS', 'O', 'O', 'B_PT', 'O', 'O', 'B-EF-POS', 'O', 'O', 'O', 'B-EF-POS', 'O', 'O', 'O']"
621,people combo skin oily parts extreme dryness proactiv retexturizing toner terrific productto explain unique toner doesnt irritate sensitive skin andor adult acne tzone included pads great plus 3 months worth high quality cleaning surfaces also scent good texture doesnt feel cheap doesnt separateapplication easy little goes long way simple swipes jobjust avoid eye area costs delicate eyes arewell eyes sting venture closefor high sun areas make sure cover sunscreenmakeup sufficient spf protection toner leave skin vulnerable burning toned areasis worth spending 45 toner resounding yes sensitive skin andor adult acne costeffective also gentle enough applied twice day desired safe psoriasis suffers cleans without overdrying adult acne awesome pads,"['people', 'combo', 'skin', 'oily', 'parts', 'extreme', 'dryness', 'proactiv', 'retexturizing', 'toner', 'terrific', 'productto', 'explain', 'unique', 'toner', 'doesnt', 'irritate', 'sensitive', 'skin', 'andor', 'adult', 'acne', 'tzone', 'included', 'pads', 'great', 'plus', '3', 'months', 'worth', 'high', 'quality', 'cleaning', 'surfaces', 'also', 'scent', 'good', 'texture', 'doesnt', 'feel', 'cheap', 'doesnt', 'separateapplication', 'easy', 'little', 'goes', 'long', 'way', 'simple', 'swipes', 'jobjust', 'avoid', 'eye', 'area', 'costs', 'delicate', 'eyes', 'arewell', 'eyes', 'sting', 'venture', 'closefor', 'high', 'sun', 'areas', 'make', 'sure', 'cover', 'sunscreenmakeup', 'sufficient', 'spf', 'protection', 'toner', 'leave', 'skin', 'vulnerable', 'burning', 'toned', 'areasis', 'worth', 'spending', '45', 'toner', 'resounding', 'yes', 'sensitive', 'skin', 'andor', 'adult', 'acne', 'costeffective', 'also', 'gentle', 'enough', 'applied', 'twice', 'day', 'desired', 'safe', 'psoriasis', 'suffers', 'cleans', 'without', 'overdrying', 'adult', 'acne', 'awesome', 'pads']","['O', 'O', 'B_BP', 'O', 'O', 'O', 'B-AP-POS', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'B-VP-POS', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SC-POS', 'O', 'B-TX-NEU', 'O', 'O', 'B-PE-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'B_BP', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EF-POS', 'O', 'B_PT', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'B-VP-POS', 'B-PE-POS', 'O', 'B-TX-POS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AP-POS', 'O', 'B-VP-POS', 'O', 'B_PT']"
622,proactive retexturizing toner solid product whose purpose improve smooth skin clear pores improve tendencies towards pimples effectively abrading lightly cleansing skin wife sensitive skin tends react poorly products like im happy report not didnt reaction said works effectively not smelly skin felt clean comfortable usethe product contains salicylic acid glycolic acids gentle skin cleans exfoliates negative not really negative really cleaner literature suggests additional purchases proactive products may necessary produce effects said wife ready buy extra products review proactive retexturizing toner executive summary happy wife really liked toner,"['proactive', 'retexturizing', 'toner', 'solid', 'product', 'whose', 'purpose', 'improve', 'smooth', 'skin', 'clear', 'pores', 'improve', 'tendencies', 'towards', 'pimples', 'effectively', 'abrading', 'lightly', 'cleansing', 'skin', 'wife', 'sensitive', 'skin', 'tends', 'react', 'poorly', 'products', 'like', 'im', 'happy', 'report', 'not', 'didnt', 'reaction', 'said', 'works', 'effectively', 'not', 'smelly', 'skin', 'felt', 'clean', 'comfortable', 'usethe', 'product', 'contains', 'salicylic', 'acid', 'glycolic', 'acids', 'gentle', 'skin', 'cleans', 'exfoliates', 'negative', 'not', 'really', 'negative', 'really', 'cleaner', 'literature', 'suggests', 'additional', 'purchases', 'proactive', 'products', 'may', 'necessary', 'produce', 'effects', 'said', 'wife', 'ready', 'buy', 'extra', 'products', 'review', 'proactive', 'retexturizing', 'toner', 'executive', 'summary', 'happy', 'wife', 'really', 'liked', 'toner']","['O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'B-VP-POS', 'O', 'O', 'O', 'B-VP-POS', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-SC-POS', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'B_IN', 'I_IN', 'B_IN', 'I_IN', 'B-TX-POS', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT']"
623,ive used glycolic acid salicyclic acid products spend couple weeks getting used wouldnt burn face not product patch test using entire face sure no adverse effects no problems started using whole face twice day ive no dryness itching peeling redness flaking face feels smoother looks brighter even though im still breakouts theyre less often not severe clear much quicklynot less problems acne skin feels looks better like results ive gotten product without side effects easy use recommend purchasing yes,"['ive', 'used', 'glycolic', 'acid', 'salicyclic', 'acid', 'products', 'spend', 'couple', 'weeks', 'getting', 'used', 'wouldnt', 'burn', 'face', 'not', 'product', 'patch', 'test', 'using', 'entire', 'face', 'sure', 'no', 'adverse', 'effects', 'no', 'problems', 'started', 'using', 'whole', 'face', 'twice', 'day', 'ive', 'no', 'dryness', 'itching', 'peeling', 'redness', 'flaking', 'face', 'feels', 'smoother', 'looks', 'brighter', 'even', 'though', 'im', 'still', 'breakouts', 'theyre', 'less', 'often', 'not', 'severe', 'clear', 'much', 'quicklynot', 'less', 'problems', 'acne', 'skin', 'feels', 'looks', 'better', 'like', 'results', 'ive', 'gotten', 'product', 'without', 'side', 'effects', 'easy', 'use', 'recommend', 'purchasing', 'yes']","['O', 'O', 'B_IN', 'I_IN', 'B_IN', 'I_IN', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'B-EF-NEU', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'B-HY-POS', 'O', 'B-HY-POS', 'B-SE-POS', 'O', 'B_BP', 'O', 'B-AP-POS', 'O', 'B-VP-POS', 'O', 'O', 'O', 'O', 'B-VP-NEU', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VP-NEU', 'B_BP', 'O', 'O', 'O', 'O', 'B-EF-POS', 'O', 'O', 'B_PT', 'O', 'B-EF-POS', 'I-EF-POS', 'O', 'O', 'O', 'O', 'O']"
624,first let start saying first used amazed much dirt removed couldnt believe dirty face really especially since use cleanser shows not best one second little goes long way dont like seems leave skin oily feeling noticed zits blackheads pop using started using went using worked knew skin would dirty works better still hit miss loved way skin felt would use loved way would look would go bed wake would two dots forming one blackhead bottom chin zit right eyes never one however also using another brand exfoliator may may not affecting either way toner pros cons tried following directions not work change works ok would never pay price want definitely not worth,"['first', 'let', 'start', 'saying', 'first', 'used', 'amazed', 'much', 'dirt', 'removed', 'couldnt', 'believe', 'dirty', 'face', 'really', 'especially', 'since', 'use', 'cleanser', 'shows', 'not', 'best', 'one', 'second', 'little', 'goes', 'long', 'way', 'dont', 'like', 'seems', 'leave', 'skin', 'oily', 'feeling', 'noticed', 'zits', 'blackheads', 'pop', 'using', 'started', 'using', 'went', 'using', 'worked', 'knew', 'skin', 'would', 'dirty', 'works', 'better', 'still', 'hit', 'miss', 'loved', 'way', 'skin', 'felt', 'would', 'use', 'loved', 'way', 'would', 'look', 'would', 'go', 'bed', 'wake', 'would', 'two', 'dots', 'forming', 'one', 'blackhead', 'bottom', 'chin', 'zit', 'right', 'eyes', 'never', 'one', 'however', 'also', 'using', 'another', 'brand', 'exfoliator', 'may', 'may', 'not', 'affecting', 'either', 'way', 'toner', 'pros', 'cons', 'tried', 'following', 'directions', 'not', 'work', 'change', 'works', 'ok', 'would', 'never', 'pay', 'price', 'want', 'definitely', 'not', 'worth']","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-EF-POS', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-DU-POS', 'I-DU-POS', 'O', 'O', 'O', 'O', 'B_PT', 'B-AP-POS', 'O', 'O', 'B-VP-NEG', 'B-VP-NEG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-VP-NEG', 'O', 'O', 'B-VP-NEG', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PE-NEU', 'O', 'O', 'O', 'O']"
625,not faithful using toner past years found drying ineffective offered product review decided give toner another try ingredients attracted cleansing face applied toner nice included pad circulated skin no adverse reaction since ingredients designed exfoliate slightly care must given sun exposure skin not feel tight cleaning process not drying combination skin still soon tell smaller pores fewer breakouts no breakouts two weeks use,"['not', 'faithful', 'using', 'toner', 'past', 'years', 'found', 'drying', 'ineffective', 'offered', 'product', 'review', 'decided', 'give', 'toner', 'another', 'try', 'ingredients', 'attracted', 'cleansing', 'face', 'applied', 'toner', 'nice', 'included', 'pad', 'circulated', 'skin', 'no', 'adverse', 'reaction', 'since', 'ingredients', 'designed', 'exfoliate', 'slightly', 'care', 'must', 'given', 'sun', 'exposure', 'skin', 'not', 'feel', 'tight', 'cleaning', 'process', 'not', 'drying', 'combination', 'skin', 'still', 'soon', 'tell', 'smaller', 'pores', 'fewer', 'breakouts', 'no', 'breakouts', 'two', 'weeks', 'use']","['O', 'O', 'O', 'B-PE-NEU', 'O', 'O', 'O', 'B-AP-NEG', 'B-EF-NEG', 'O', 'B_PT', 'O', 'O', 'O', 'B_PT', 'O', 'O', 'B_IN', 'O', 'O', 'B_PT', 'O', 'B_PT', 'O', 'O', 'B_PT', 'O', 'B_BP', 'O', 'O', 'I-SE-NEU', 'O', 'B_IN', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'O', 'O', 'B-AP-POS', 'O', 'B_BP', 'O', 'O', 'O', 'O', 'I-VP-POS', 'O', 'B-VP-NEU', 'O', 'B-VP-POS', 'O', 'O', 'O']"
